slug;nome;endereco;bairro;orgao;motivo;source_atual;source_corrigido;edit_url
agraer-sede144;Bloco 12;Av. Desembargador José Nunes da Cunha, S/N;Parque dos Poderes;AGRAER;aspa-inicial;"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14953.457960056077!2d-54.59153913366672!3d-20.450217441504048!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9486e89faaaaaaab%3A0x4bba8bd32bf14aca!2sAg%C3%AAncia%20de%20Desenvolvimento%20Agr%C3%A1rio%20e%20Extens%C3%A3o%20Rural%20-%20AGRAER!5e0!3m2!1spt-BR!2sbr!4v1702995953340!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14953.457960056077!2d-54.59153913366672!3d-20.450217441504048!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9486e89faaaaaaab%3A0x4bba8bd32bf14aca!2sAg%C3%AAncia%20de%20Desenvolvimento%20Agr%C3%A1rio%20e%20Extens%C3%A3o%20Rural%20-%20AGRAER!5e0!3m2!1spt-BR!2sbr!4v1702995953340!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/agraer-sede144
agencia-integrada-comper-itanhanga111;Térreo;R. Joaquim Murtinho, 1679 - Itanhangá Park;Itanhangá Park;DETRAN;nao-embed;https://maps.app.goo.gl/4DBJWxGC8T4Zhsrk8;__GERAR_EMBED__;https://admin.ms.gov.br/locais_atendimento/editar/agencia-integrada-comper-itanhanga111
detran21;Agência do Detran-MS;R. São Paulo, 123;Centro;DETRAN;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3726.672132088822!2d-54.956505899999996!3d-20.9255066!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9487af634dc921d1%3A0xc54e9fd29cafdc9a!2sR.%20S%C3%A3o%20Paulo%2C%20123%20-%20Centro%2C%20Sidrol%C3%A2ndia%20-%20MS%2C%2079170-000!5e0!3m2!1spt-BR!2sbr!4v1772217248220!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3726.672132088822!2d-54.956505899999996!3d-20.9255066!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9487af634dc921d1%3A0xc54e9fd29cafdc9a!2sR.%20S%C3%A3o%20Paulo%2C%20123%20-%20Centro%2C%20Sidrol%C3%A2ndia%20-%20MS%2C%2079170-000!5e0!3m2!1spt-BR!2sbr!4v1772217248220!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/detran21
gerencia-de-administracao191;Gerência de Administração;Rua: Sete de Setembro, 1606;Centro;FUNDECT;sem-source;x;__GERAR_EMBED__;https://admin.ms.gov.br/locais_atendimento/editar/gerencia-de-administracao191
funtrab137;FUNTRAB;Rua: Francisco Rebuá, 04;Centro;FUNTRAB;aspa-inicial;"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3743.492386875593!2d-56.38704012381306!3d-20.238404147988145!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x947e91e043c9bf77%3A0x862b16422b4f3db2!2sR.%20Francisco%20R%C3%A9bua%2C%204%20-%20Nova%20Miranda%2C%20Miranda%20-%20MS%2C%2079380-000!5e0!3m2!1spt-BR!2sbr!4v1701117023746!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3743.492386875593!2d-56.38704012381306!3d-20.238404147988145!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x947e91e043c9bf77%3A0x862b16422b4f3db2!2sR.%20Francisco%20R%C3%A9bua%2C%204%20-%20Nova%20Miranda%2C%20Miranda%20-%20MS%2C%2079380-000!5e0!3m2!1spt-BR!2sbr!4v1701117023746!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/funtrab137
unidade-local-de-jatei100;UNIDADE LOCAL DE JATEÍ;Rua Miguel Lopes Falheiros N.º 717;Centro;IAGRO;aspa-inicial;"""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3686.5907937833613!2d-54.308827025338026!3d-22.482006722826878!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94895b267a494f3f%3A0x2b94d6e36826402!2sIagro%20Local%20de%20Jate%C3%AD!5e0!3m2!1spt-BR!2sbr!4v1682621498954!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3686.5907937833613!2d-54.308827025338026!3d-22.482006722826878!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94895b267a494f3f%3A0x2b94d6e36826402!2sIagro%20Local%20de%20Jate%C3%AD!5e0!3m2!1spt-BR!2sbr!4v1682621498954!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/unidade-local-de-jatei100
unidade-local-de-agua-clara78;UNIDADE LOCAL DE AGUA CLARA;Rua Hugo Pereira do Vale, 06;Jardim Sao Judas Tadeu;IAGRO;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d233.65962761501558!2d-52.87804191543188!3d-20.442425207437704!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9485255ab4b76aa7%3A0xf1e47b18a5cf41f7!2sIagro%20Local%20de%20%C3%81gua%20Clara!5e0!3m2!1spt-BR!2sbr!4v1777486632310!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d233.65962761501558!2d-52.87804191543188!3d-20.442425207437704!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9485255ab4b76aa7%3A0xf1e47b18a5cf41f7!2sIagro%20Local%20de%20%C3%81gua%20Clara!5e0!3m2!1spt-BR!2sbr!4v1777486632310!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/unidade-local-de-agua-clara78
escritorio-local-de-aquidauana131;Escritório Local de Aquidauana;Rua Nilza Ferraz Ribeiro esquina com Honório Simões Pires, s/nº;Bairro Alto;IMASUL;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1108.5528531119405!2d-55.78182892792595!3d-20.458142311937895!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x947de73f54ee1815%3A0x1a064e0d09cec336!2sImasul%20(Instituto%20de%20Meio%20Ambiente%20de%20Mato%20Grosso%20do%20Sul)%20Aquidauana!5e1!3m2!1spt-BR!2sbr!4v1776370066125!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1108.5528531119405!2d-55.78182892792595!3d-20.458142311937895!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x947de73f54ee1815%3A0x1a064e0d09cec336!2sImasul%20(Instituto%20de%20Meio%20Ambiente%20de%20Mato%20Grosso%20do%20Sul)%20Aquidauana!5e1!3m2!1spt-BR!2sbr!4v1776370066125!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/escritorio-local-de-aquidauana131
escritorio-local-de-bonito37;Escritório Local de Bonito;Rua da Flores, 400;Vila Donária;IMASUL;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!4v1776370767375!6m8!1m7!1sJHMSE2D4Gu2lak-x3G1ISw!2m2!1d-21.12245160244735!2d-56.4995106975785!3f198.4075195260956!4f3.9225427584587607!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!4v1776370767375!6m8!1m7!1sJHMSE2D4Gu2lak-x3G1ISw!2m2!1d-21.12245160244735!2d-56.4995106975785!3f198.4075195260956!4f3.9225427584587607!5f0.7820865974627469;https://admin.ms.gov.br/locais_atendimento/editar/escritorio-local-de-bonito37
escritorio-local-de-corumba125;Escritório Local de Corumbá;Rua XV de Novembro, 32;Centro;IMASUL;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1330.3940453192345!2d-57.65557994821014!3d-18.99906422478381!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9387a0975581d3f1%3A0x1ee4b4e8c77897a4!2sR.%20Quinze%20de%20Novembro%2C%2032%20-%20Centro!5e1!3m2!1spt-BR!2sbr!4v1776370315557!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1330.3940453192345!2d-57.65557994821014!3d-18.99906422478381!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9387a0975581d3f1%3A0x1ee4b4e8c77897a4!2sR.%20Quinze%20de%20Novembro%2C%2032%20-%20Centro!5e1!3m2!1spt-BR!2sbr!4v1776370315557!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/escritorio-local-de-corumba125
escritorio-local-de-costa-rica18;Escritório Local de Costa Rica;Rua Jose Pereira da Silva, 303;Bairro Santos Dumont;IMASUL;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4487.0360420844745!2d-53.12646862229696!3d-18.54225694660454!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94829994ed70afc9%3A0xd2343d007179d134!2sIMASUL%20Costa%20Rica!5e1!3m2!1spt-BR!2sbr!4v1776371217187!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4487.0360420844745!2d-53.12646862229696!3d-18.54225694660454!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94829994ed70afc9%3A0xd2343d007179d134!2sIMASUL%20Costa%20Rica!5e1!3m2!1spt-BR!2sbr!4v1776371217187!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/escritorio-local-de-costa-rica18
escritorio-local-de-coxim85;Escritório Local de Coxim;Rua Floriano Peixoto, nº 304;Centro;IMASUL;tag-iframe;"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d561.0004133568763!2d-54.76201751931351!3d-18.50539808857653!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x937e358a66561699%3A0xe870893f1d250e55!2sImasul%20Coxim!5e1!3m2!1spt-BR!2sbr!4v1776371479000!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>";https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d561.0004133568763!2d-54.76201751931351!3d-18.50539808857653!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x937e358a66561699%3A0xe870893f1d250e55!2sImasul%20Coxim!5e1!3m2!1spt-BR!2sbr!4v1776371479000!5m2!1spt-BR!2sbr;https://admin.ms.gov.br/locais_atendimento/editar/escritorio-local-de-coxim85
